names,flow,ONs,NH3,NO3,DO,DOCa
41913.00000,1.46795,41978.83,3.5,41978.83,0.033,41978.83,0.2,41978.83,9.84,41978.83,4.988
41913.02083,3.18055,41978.84,1.8,41978.84,0.011,41978.84,0.1,41978.84,9.74,41978.84,3.072
41913.04167,1.46795,41978.85,2.1,41978.85,0.052,41978.85,0.3,41978.85,10.59,41978.85,2.757
41913.06250,1.46795,41978.96,6.0,41978.96,0.027,41978.96,4.6,41978.96,10.17,41978.96,3.034
41913.08333,1.46795,41978.99,11.0,41978.99,0.143,41978.99,8.6,41978.99,9.84,41979.04,4.296
41913.10417,1.46795,41979.04,4.7,41979.04,0.025,41979.04,3.4,41979.04,10.22,41979.32,2.122
41913.12500,1.46795,41979.32,2.5,41979.32,0.076,41979.32,1.0,41979.32,10.12,42067.25,8.285
41913.14583,1.46795,42066.75,4.97,42066.75,0.060,42066.75,3.04,42066.75,7.7,42067.40,7.326
41913.16667,1.46795,42066.92,4.175,42066.92,0.041,42066.92,2.605,42066.92,7.88,42067.43,7.287
41913.18750,1.46795,42067.08,2.905,42067.08,0.103,42067.08,1.475,42067.08,7.81,42067.67,7.156
41913.20833,1.46795,42067.25,2.47,42067.25,0.103,42067.25,1.305,42067.25,8.55,42068.46,6.124
41913.22917,1.46795,42067.40,4.04,42067.40,0.064,42067.40,1.24,42067.40,9.14,42076.48,5.181
41913.25000,1.46795,42067.43,4.03,42067.43,0.063,42067.43,1.21,42067.43,9.21,42076.55,1.699
41913.27083,1.46795,42067.67,1.81,42067.67,0.065,42067.67,1.015,42067.67,9.53,42076.61,1.558
41913.29167,1.46795,42068.46,1.89,42068.46,0.055,42068.46,0.808,42068.46,9.85,42076.79,7.763
41913.31250,1.46795,42076.48,4.175,42076.48,0.182,42076.48,0.2445,42076.48,7.66,42076.96,8.12
41913.33333,1.46795,42076.55,3.395,42076.55,0.049,42076.55,0.0649,42076.55,7.77,42077.22,5.864
41913.35417,1.46795,42076.61,3.13,42076.61,0.046,42076.61,0.087,42076.61,7.87,42077.29,7.947
41913.37500,1.46795,42076.79,4.085,42076.79,0.062,42076.79,0.417,42076.79,7.96,42096.67,6.504
41913.39583,1.46795,42076.96,3.925,42076.96,0.068,42076.96,0.3615,42076.96,7.36,42096.68,3.498
41913.41667,1.46795,42077.22,4.665,42077.22,0.028,42077.22,0.203,42077.22,9.94,42096.82,2.582
41913.43750,1.46795,42077.29,3.175,42077.29,0.036,42077.29,0.2635,42077.29,8.48,42096.98,2.502
41913.45833,1.46795,42096.67,18.6,42096.67,0.459,42096.67,0.514,42096.67,7.54,42097.00,6.63
41913.47917,1.46795,42096.68,2.965,42096.68,0.455,42096.68,0.254,42096.68,7.33,42097.22,4.955
41913.50000,1.46795,42096.82,2.355,42096.82,0.438,42096.82,0.222,42096.82,7.52,42097.55,8.761
41913.52083,1.46795,42096.98,2.08,42096.98,0.381,42096.98,0.3165,42096.98,7.68,42163.98,24.14
41913.54167,0.00000,42097.00,18.8,42097.00,0.081,42097.00,0.8495,42097.00,7.55,42163.99,16
41913.56250,0.00000,42097.22,2.535,42097.22,0.203,42097.22,0.337,42097.22,7.71,42164.02,34.84
