41973.9951333333,41974.0368,0
41974.0368333333,41974.0785,0
41974.0784333333,41974.1201,0
41974.1201333333,41974.1618,0
41974.1618333333,41974.2035,0
41974.2034333333,41974.2451,0
41974.2451333333,41974.2868,0
41974.2868333333,41974.3285,0
41974.3284333333,41974.3701,0
41974.3701333333,41974.4118,0
41974.4118333333,41974.4535,0
41974.4534333333,41974.4951,0
41974.4951333333,41974.5368,0
41974.5368333333,41974.5785,0
41974.5784333333,41974.6201,0
41974.6201333333,41974.6618,0
41974.6618333333,41974.7035,0
41974.7034333333,41974.7451,0
41974.7451333333,41974.7868,0
41974.7868333333,41974.8285,0
41974.8284333333,41974.8701,0
41974.8701333333,41974.9118,0
41974.9118333333,41974.9535,0
41974.9534333333,41974.9951,0
41974.9951333333,41975.0368,0
41975.0368333333,41975.0785,0
41975.0784333333,41975.1201,0
41975.1201333333,41975.1618,0
41975.1618333333,41975.2035,0
41975.2034333333,41975.2451,0
41975.2451333333,41975.2868,0.01
41975.2868333333,41975.3285,0.02
41975.3284333333,41975.3701,0.02
41975.3701333333,41975.4118,0.06
41975.4118333333,41975.4535,0.05
41975.4534333333,41975.4951,0.14
41975.4951333333,41975.5368,0.19
41975.5368333333,41975.5785,0.19
41975.5784333333,41975.6201,0.16
41975.6201333333,41975.6618,0.14
41975.6618333333,41975.7035,0.07
41975.7034333333,41975.7451,0.02
41975.7451333333,41975.7868,0.03
41975.7868333333,41975.8285,0
41975.8284333333,41975.8701,0
41975.8701333333,41975.9118,0
41975.9118333333,41975.9535,0
41975.9534333333,41975.9951,0.02
41975.9951333333,41976.0368,0.01
41976.0368333333,41976.0785,0
41976.0784333333,41976.1201,0
41976.1201333333,41976.1618,0
41976.1618333333,41976.2035,0
41976.2034333333,41976.2451,0.02
41976.2451333333,41976.2868,0
41976.2868333333,41976.3285,0
41976.3284333333,41976.3701,0
41976.3701333333,41976.4118,0
41976.4118333333,41976.4535,0.04
41976.4534333333,41976.4951,0
41976.4951333333,41976.5368,0
41976.5368333333,41976.5785,0.02
41976.5784333333,41976.6201,0.01
41976.6201333333,41976.6618,0.01
41976.6618333333,41976.7035,0.06
41976.7034333333,41976.7451,0
41976.7451333333,41976.7868,0.01
41976.7868333333,41976.8285,0
41976.8284333333,41976.8701,0
41976.8701333333,41976.9118,0.01
41976.9118333333,41976.9535,0.01
41976.9534333333,41976.9951,0.01
41976.9951333333,41977.0368,0
41977.0368333333,41977.0785,0
41977.0784333333,41977.1201,0
41977.1201333333,41977.1618,0
41977.1618333333,41977.2035,0
41977.2034333333,41977.2451,0
41977.2451333333,41977.2868,0
41977.2868333333,41977.3285,0
41977.3284333333,41977.3701,0
41977.3701333333,41977.4118,0
41977.4118333333,41977.4535,0
41977.4534333333,41977.4951,0
41977.4951333333,41977.5368,0
41977.5368333333,41977.5785,0
41977.5784333333,41977.6201,0
41977.6201333333,41977.6618,0
41977.6618333333,41977.7035,0
41977.7034333333,41977.7451,0
41977.7451333333,41977.7868,0
41977.7868333333,41977.8285,0
41977.8284333333,41977.8701,0
41977.8701333333,41977.9118,0
41977.9118333333,41977.9535,0
41977.9534333333,41977.9951,0
41977.9951333333,41978.0368,0
41978.0368333333,41978.0785,0
41978.0784333333,41978.1201,0
41978.1201333333,41978.1618,0
41978.1618333333,41978.2035,0
41978.2034333333,41978.2451,0
41978.2451333333,41978.2868,0
41978.2868333333,41978.3285,0
41978.3284333333,41978.3701,0
41978.3701333333,41978.4118,0
41978.4118333333,41978.4535,0
41978.4534333333,41978.4951,0
41978.4951333333,41978.5368,0
41978.5368333333,41978.5785,0
41978.5784333333,41978.6201,0
41978.6201333333,41978.6618,0
41978.6618333333,41978.7035,0
41978.7034333333,41978.7451,0
41978.7451333333,41978.7868,0
41978.7868333333,41978.8285,0
41978.8284333333,41978.8701,0
41978.8701333333,41978.9118,0
41978.9118333333,41978.9535,0
41978.9534333333,41978.9951,0
41978.9951333333,41979.0368,0
41979.0368333333,41979.0785,0
41979.0784333333,41979.1201,0
41979.1201333333,41979.1618,0
41979.1618333333,41979.2035,0
41979.2034333333,41979.2451,0
41979.2451333333,41979.2868,0
41979.2868333333,41979.3285,0
41979.3284333333,41979.3701,0
41979.3701333333,41979.4118,0
41979.4118333333,41979.4535,0
41979.4534333333,41979.4951,0
41979.4951333333,41979.5368,0
41979.5368333333,41979.5785,0
41979.5784333333,41979.6201,0
41979.6201333333,41979.6618,0
41979.6618333333,41979.7035,0
41979.7034333333,41979.7451,0
41979.7451333333,41979.7868,0
41979.7868333333,41979.8285,0
41979.8284333333,41979.8701,0
41979.8701333333,41979.9118,0
41979.9118333333,41979.9535,0
41979.9534333333,41979.9951,0
41979.9951333333,41980.0368,0
41980.0368333333,41980.0785,0
41980.0784333333,41980.1201,0
41980.1201333333,41980.1618,0
41980.1618333333,41980.2035,0
41980.2034333333,41980.2451,0
41980.2451333333,41980.2868,0
41980.2868333333,41980.3285,0
41980.3284333333,41980.3701,0
41980.3701333333,41980.4118,0
41980.4118333333,41980.4535,0
41980.4534333333,41980.4951,0
41980.4951333333,41980.5368,0
41980.5368333333,41980.5785,0
41980.5784333333,41980.6201,0
41980.6201333333,41980.6618,0
41980.6618333333,41980.7035,0
41980.7034333333,41980.7451,0
41980.7451333333,41980.7868,0
41980.7868333333,41980.8285,0
41980.8284333333,41980.8701,0
41980.8701333333,41980.9118,0
41980.9118333333,41980.9535,0
41980.9534333333,41980.9951,0
41980.9951333333,41981.0368,0
41981.0368333333,41981.0785,0
41981.0784333333,41981.1201,0
